"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"CPCT02230036T_vs_bact_coverage_filtered_hits","k127_15427","NZ_FKXF01000023",97.615,0,1940,1132,1105.0018,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_3182","NZ_FKWV01000005",98.113,0,1568,901,883.99813,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_3182","NZ_FKXF01000023",98.113,0,1568,901,883.99813,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_3182","NZ_FKXL01000017",97.891,0,1557,901,881.99791,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_36071","NZ_FKWV01000005",97.542,0,1530,895,873.0009,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_36071","NZ_FKXF01000023",97.542,0,1530,895,873.0009,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_36071","NZ_FKXL01000017",97.43,0,1524,895,871.9985,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_18180","NZ_FKXL01000017",97.743,0,1524,886,866.00298,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_18180","NZ_FKWV01000005",97.743,0,1524,886,866.00298,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_18180","NZ_FKXF01000023",97.743,0,1524,886,866.00298,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080073T_vs_bact_coverage_filtered_hits","k127_17361","NZ_FKXL01000017",96.417,0,1517,921,888.00057,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080073T_vs_bact_coverage_filtered_hits","k127_17361","NZ_FKWV01000005",96.417,0,1517,921,888.00057,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080073T_vs_bact_coverage_filtered_hits","k127_17361","NZ_FKXF01000023",96.417,0,1517,921,888.00057,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_20470","NZ_FKXL01000017",95.74,0,1511,939,898.9986,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_20470","NZ_FKWV01000005",95.74,0,1511,939,898.9986,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02290001T_vs_bact_coverage_filtered_hits","k127_20470","NZ_FKXF01000023",95.74,0,1511,939,898.9986,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_14254","NZ_MLXP01000026",95.203,0,1476,938,893.00414,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_14254","NZ_MLUB01000021",95.203,0,1476,938,893.00414,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_14254","NZ_MLTT01000022",95.203,0,1476,938,893.00414,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_14254","NZ_MLRM01000021",95.203,0,1476,938,893.00414,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_14254","NZ_MLRF01000022",95.203,0,1476,938,893.00414,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_6246","NZ_FKXL01000017",97.159,0,1190,704,683.99936,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_6246","NZ_FKWV01000005",97.159,0,1190,704,683.99936,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020599T_vs_bact_coverage_filtered_hits","k127_6246","NZ_FKXF01000023",97.159,0,1190,704,683.99936,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230021T_vs_bact_coverage_filtered_hits","k127_18349","NZ_FKWV01000005",95.994,0,1175,724,694.99656,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230021T_vs_bact_coverage_filtered_hits","k127_18349","NZ_FKXF01000023",95.994,0,1175,724,694.99656,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230021T_vs_bact_coverage_filtered_hits","k127_18349","NZ_FKXL01000017",95.856,0,1170,724,693.99744,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_14556","NZ_FKWV01000005",96.957,0,1157,690,669.0033,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_14556","NZ_FKXF01000023",96.957,0,1157,690,669.0033,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_14556","NZ_FKXL01000017",96.812,0,1151,690,668.0028,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_15015","NZ_FKXL01000017",96.006,0,1099,676,649.00056,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_15015","NZ_FKWV01000005",96.006,0,1099,676,649.00056,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_15015","NZ_FKXF01000023",96.006,0,1099,676,649.00056,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_968","NZ_FKWV01000005",96.018,0,1061,653,626.99754,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_968","NZ_FKXF01000023",96.018,0,1061,653,626.99754,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_968","NZ_FKXL01000017",95.712,0,1050,653,624.99936,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020539T_vs_bact_coverage_filtered_hits","k127_9678","NZ_FKWV01000005",97.254,0,1048,619,602.00226,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020539T_vs_bact_coverage_filtered_hits","k127_9678","NZ_FKXF01000023",97.254,0,1048,619,602.00226,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_6540","NZ_FKXL01000017",99.65,0,1046,572,569.998,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_6540","NZ_FKWV01000005",99.65,0,1046,572,569.998,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_6540","NZ_FKXF01000023",99.65,0,1046,572,569.998,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02020539T_vs_bact_coverage_filtered_hits","k127_9678","NZ_FKXL01000017",97.092,0,1042,619,600.99948,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02010359T_vs_bact_coverage_filtered_hits","k127_8451","NZ_FKXL01000017",99.475,0,1038,571,568.00225,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02010359T_vs_bact_coverage_filtered_hits","k127_8451","NZ_FKWV01000005",99.475,0,1038,571,568.00225,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02010359T_vs_bact_coverage_filtered_hits","k127_8451","NZ_FKXF01000023",99.475,0,1038,571,568.00225,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLXP01000026",98.311,0,1038,592,582.00112,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLUB01000021",98.311,0,1038,592,582.00112,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLTT01000022",98.311,0,1038,592,582.00112,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLRM01000021",98.311,0,1038,592,582.00112,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLRF01000022",98.311,0,1038,592,582.00112,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_9439","NZ_MLWD01000035",98.142,0,1033,592,581.00064,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_4012","NZ_FKXL01000017",96.618,0,1031,621,599.99778,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_4012","NZ_FKWV01000005",96.618,0,1031,621,599.99778,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_4012","NZ_FKXF01000023",96.618,0,1031,621,599.99778,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_16285","NZ_FKWV01000005",96.885,0,1020,610,590.9985,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_16285","NZ_FKXF01000023",96.885,0,1020,610,590.9985,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_16285","NZ_FKXL01000017",96.557,0,1009,610,588.9977,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_24338","NZ_FKXL01000017",97.59,0,996,581,566.9979,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_24338","NZ_FKWV01000005",97.59,0,996,581,566.9979,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080095T_vs_bact_coverage_filtered_hits","k127_24338","NZ_FKXF01000023",97.59,0,996,581,566.9979,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_12260","NZ_MLWD01000035",97.27,0,994,586,570.0022,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLWD01000035",98.868,0,946,530,524.0004,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLXP01000026",98.868,0,946,530,524.0004,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLUB01000021",98.868,0,946,530,524.0004,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLTT01000022",98.868,0,946,530,524.0004,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLRM01000021",98.868,0,946,530,524.0004,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230120T_vs_bact_coverage_filtered_hits","k127_3222","NZ_MLRF01000022",98.868,0,946,530,524.0004,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_12995","NZ_FKXL01000017",96.441,0,928,562,541.99842,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_12995","NZ_FKWV01000005",96.441,0,928,562,541.99842,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230025T_vs_bact_coverage_filtered_hits","k127_12995","NZ_FKXF01000023",96.441,0,928,562,541.99842,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLXP01000026",95.745,0,904,564,540.0018,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLUB01000021",95.745,0,904,564,540.0018,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLTT01000022",95.745,0,904,564,540.0018,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLRM01000021",95.745,0,904,564,540.0018,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLRF01000022",95.745,0,904,564,540.0018,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"CPCT02030478T_vs_bact_coverage_filtered_hits","k127_15666","NZ_FKWV01000005",95.423,0,902,568,542.00264,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02030478T_vs_bact_coverage_filtered_hits","k127_15666","NZ_FKXF01000023",95.423,0,902,568,542.00264,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02240005T_vs_bact_coverage_filtered_hits","k127_19372","NZ_MLWD01000035",95.567,0,898,564,538.99788,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"CPCT02030478T_vs_bact_coverage_filtered_hits","k127_15666","NZ_FKXL01000017",95.246,0,896,568,540.99728,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02180049T_vs_bact_coverage_filtered_hits","k127_65074","NZ_FKXL01000017",97.49,0,885,518,504.9982,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02180049T_vs_bact_coverage_filtered_hits","k127_65074","NZ_FKWV01000005",97.49,0,885,518,504.9982,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
